kk time, kk res, rr std time, rr std res, rr pp time, rr pp res, hc std time, hc std res, hc pp time, hc pp res, anneal std time, anneal std res, anneal pp time, anneal pp res
0.012,1024338,92.37,457116914,203.788,226773568,438.188,9.6422E+11,1479.82,152,2177.33,278,3380,182
0.01,260214,73.731,98462806,206.395,33549956,683.874,3.65717E+12,2136.62,130,2796,228,1033.57,80
0.01,235053,84.818,77483489,196.467,386621953,213.104,9.19767E+12,2159.17,223,1370.67,445,905.672,11
0.015,86495,79.168,216409581,212.78,12980035,217.326,2.10668E+12,1883.85,49,1458.37,951,900.586,449
0.011,73568,78.989,202160878,285.284,103123568,199.763,7.1275E+12,1520,6,1278.15,430,905.707,100
0.012,5939,95.503,212328147,190.504,251831529,174.882,9.87628E+12,3576.82,101,1611.1,623,1286.71,423
0.011,7294,66.562,1142753212,180.886,445714640,180.274,1.05162E+13,1381.42,478,1309.51,1088,743.076,136
0.01,354635,61.617,16276399,176.704,108735307,191.169,5.95927E+12,3751.73,3,3194.97,189,1113.32,51
0.012,2018965,150.902,75468797,213.067,724431035,243.731,3.59274E+12,2689.78,59,1108.59,1105,776.52,147
0.01,229011,69.388,236235003,186.286,155194945,185.637,1.26487E+12,1398.96,1,1202.6,245,806.335,163
0.011,16816,64.75,294653106,180.836,147158756,174.922,6.50473E+12,1437.71,370,1161.54,178,806.56,120
0.014,364160,64.305,785267288,186.593,383195630,173.856,2.38156E+12,1357.45,136,1367.33,5552,968.387,156
0.011,33336,71.412,56412000,186.389,532804,197.896,1.15749E+12,1515.72,280,1243.85,258,763.646,298
0.011,394004,63.219,254033210,197.611,56961700,172.582,1.59129E+12,1450.3,194,1178.85,988,810.544,638
0.011,82968,68.076,583073084,180.508,257370446,182.705,4.34436E+12,1308.81,440,1294.79,18,805.293,954
0.011,148851,68.985,141506267,189.861,19745243,189.186,2.0895E+12,1378.46,641,1437.96,21,865.108,231
0.012,17820,68.322,282841646,183.446,355265754,188.648,1.21333E+12,1582.89,46,1158.53,1194,709.423,84
0.01,1290,57.42,188305988,154.066,144909252,156.141,2.19258E+12,1190.87,328,1075.91,2796,729.502,80
0.01,10944,56.314,206499774,161.24,203519334,170.523,6.20623E+11,1256.34,36,998.663,740,641.291,88
0.011,99855,56.592,289854585,153.369,162374373,152.7,3.85044E+12,1122.59,145,1024.73,103,626.146,1065
0.011,99682,56.129,170849786,154.209,675433512,153.887,1.12313E+12,1119.08,110,943.444,214,646.784,24
0.01,994,56.393,859897720,154.053,1370745928,154.625,5.37086E+12,1071.75,96,923.874,458,641.556,60
0.01,1294938,56.958,532521544,153.326,690818082,153.858,4.85546E+12,1163.72,52,1559.59,18,1010.61,212
0.017,1043572,122.028,93896444,391.86,189107186,290.452,3.64428E+12,1675.57,10,1524.8,122,1104.25,26
0.01,175799,81.165,385441719,157.513,695686413,270.518,5.64789E+11,1480.04,1,970.991,117,651.829,87
0.011,434432,56.464,158203428,155.928,161270534,154.904,1.02456E+13,1093.95,454,1028.5,288,628.879,430
0.011,7314,56.099,141412840,155.647,458344570,159.045,3.41235E+12,1095.21,62,928.107,1114,637.773,120
0.011,304572,57.788,98251860,166.598,239835946,161.063,1.02371E+13,1433.56,302,1197.25,1768,656.043,82
0.01,69961,56.44,351298169,154.717,183733561,153.033,7.11891E+12,1300.62,71,868.776,415,640.29,385
0.011,62054,56.366,72661900,153.025,638416800,153.56,5.31073E+12,1140.29,100,950.616,608,671.565,34
0.015,312547,73.238,5979695,156.848,378101,204.072,4.31429E+12,1161.2,39,936.878,1385,691.603,7
0.01,4612,57.228,156993182,156.954,173546626,218.531,5.79606E+12,1317.23,108,1121.56,1784,775.42,686
0.011,52343,58.078,4326537,162.37,405568617,160.01,2.94205E+11,1175.24,453,1015.64,469,745.507,125
0.013,130858,58.967,21661608,161.782,523733624,170.414,7.78463E+12,1271.76,118,1354.95,966,736.263,14
0.01,8117,61.428,497671341,155.671,435845437,168.026,5.44387E+12,1182.77,35,933.238,341,633.374,439
0.011,1149440,56.321,10201134,174.602,9524364,157.429,1.86616E+12,1141.98,152,1036.03,104,661.853,48
0.015,82990,58.508,7206212,155.052,54525766,154.946,7.5527E+12,1132.28,44,955.547,1642,703.761,226
0.032,30756,60.497,552691950,159.906,157352470,156.62,7.57847E+12,1137,158,939.349,54,657.386,74
0.011,387611,56.393,52977249,153.037,168581581,155.861,3.90627E+12,1096.19,285,962.634,479,644.131,525
0.01,1369185,56.124,684549459,156.778,301802247,155.05,6.72377E+12,1198.47,123,948.209,1345,643.107,155
0.011,19302,56.705,37282400,153.316,30071812,153.175,4.18115E+12,1109.26,42,1008.51,242,656.002,32
0.011,142288,59.071,352553650,154.82,403352808,156.066,3.00862E+12,1144.3,146,989.946,502,638.017,110
0.011,18818,56.373,142085360,154.219,254507070,154.302,4.18545E+12,1111.26,482,945.807,1398,658.111,54
0.011,142313,56.625,16728383,155.747,1022864155,153.338,7.46251E+12,1147.84,117,949.579,263,653.985,51
